陈生👈👉制作,#genre#
CCTV13🥉新闻,http://120.77.28.4:8648/mgu.php?id=cctv13#http://gejianhua.7766.org:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14💯少儿,http://148.135.93.213:81/live.php?id=CCTV14#http://gejianhua.7766.org:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV15🎻音乐,http://148.135.93.213:81/live.php?id=CCTV15#http://gejianhua.7766.org:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV16💯,http://diyp.uk.to/zb/1725695663.php?id=cctv16
CCTV17💯,http://148.135.93.213:81/live.php?id=CCTV17#http://gejianhua.7766.org:9901/tsfile/live/0019_1.m3u8?key=txiptv&playlive=1&authid=0
🇨🇳卫视频道,#genre#
北京💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&authid=0#http://183.66.13.82:60033/tsfile/live/0122_1.m3u8?key=txiptv
湖南💯卫视,http://www.zzlag.top:9003/hls/49/index.m3u8$酒店#http://183.66.13.82:60033/tsfile/live/0128_1.m3u8?key=txiptv
浙江💯卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8#http://183.66.13.82:60033/tsfile/live/0124_1.m3u8?key=txiptv
江苏💯卫视,http://120.77.28.4:8648/mgu.php?id=jsws#http://183.66.13.82:60033/tsfile/live/0127_1.m3u8?key=txiptv
安徽💯卫视,http://183.66.13.82:60033/tsfile/live/0130_1.m3u8?key=txiptv
天津💯卫视,http://183.66.13.82:60033/tsfile/live/0135_1.m3u8?key=txiptv
辽宁💯卫视,http://183.66.13.82:60033/tsfile/live/0121_1.m3u8?key=txiptv
山东💯卫视,http://183.66.13.82:60033/tsfile/live/0131_1.m3u8?key=txiptv
黑龙💯江卫视,http://183.66.13.82:60033/tsfile/live/0143_1.m3u8?key=txiptv
湖北💯卫视,http://183.66.13.82:60033/tsfile/live/0132_1.m3u8?key=txiptv
上海💯卫视,http://183.66.13.82:60033/tsfile/live/0107_1.m3u8?key=txiptv
河北💯卫视,http://183.66.13.82:60033/tsfile/live/0117_1.m3u8?key=txiptv
贵州💯卫视,http://183.66.13.82:60033/tsfile/live/0120_1.m3u8?key=txiptv
东南💯卫视,http://183.66.13.82:60033/tsfile/live/0137_1.m3u8?key=txiptv
青海💯卫视,http://183.66.13.82:60033/tsfile/live/0140_1.m3u8?key=txiptv
西藏💯卫视,http://183.66.13.82:60033/tsfile/live/0111_1.m3u8?key=txiptv
内蒙💯古卫视,http://183.66.13.82:60033/tsfile/live/0109_1.m3u8?key=txiptv
新疆💯卫视,http://183.66.13.82:60033/tsfile/live/0110_1.m3u8?key=txiptv
兵团💯卫视,http://183.66.13.82:60033/tsfile/live/0115_1.m3u8?key=txiptv
甘肃💯卫视,http://183.66.13.82:60033/tsfile/live/0141_1.m3u8?key=txiptv
宁夏💯卫视,http://183.66.13.82:60033/tsfile/live/0112_1.m3u8?key=txiptv
浙江 💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
东方💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&authid=0
河南💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙💯江卫视,http://gejianhua.7766.org:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&authid=0
山东💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&authid=0
安徽💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁💯卫视,http://gejianhua.7766.org:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&authid=0  
🇭🇰香港频道,#genre#
环球🏅新闻,http://zb.xzxwhcb.com:9999/hls/world.m3u8#http://zb.xzxwhcb.com:9999/hls/world.m3u8
凤凰🏅 中文,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pcc72.m3u8#http://122.224.232.226:8888/udp/233.50.200.191:5140
凤凰🏅 资讯,http://58.144.154.93:80/qctv.fengshows.cn/live/0701pin72.m3u8#http://122.224.232.226:8888/udp/233.50.200.192:5140
凤凰🏅香港,http://58.144.154.93:80/qctv.fengshows.cn/live/0701phk72.m3u8
香港🏅卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8#http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-
香港🏅翡翠台,http://185.81.28.58/🥝.php?id=ca9b19519b657d524c001ef858181b5d#http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct#http://58.250.155.2:8180/TV00000000000000000032@HHZT#http://ali.hlspull.yximgs.com/live/9b078082b6d2ba6b49e3cf0edc405aea.flv
香港🏅无线新闻,http://ali.hlspull.yximgs.com/live/37d4060de6db5d44920420d2c1416ebf.flv#http://live.cooltv.top/tv/tvb.php?id=0&hq#http://live.cooltv.top/tv/tvb.php?id=2
香港🏅now新闻台,mitv://135.148.104.228:19806/86a69c6de155405ba916819e2634aa74
凤凰🏅电影台,http://home.js001.com:7777/stream/channelid/884059847?profile=pass
香港🏅星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0#http://wouu.net:9977/udp/239.93.0.156:2193
香港🏅面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0
🇼🇸台弯频道,#genre#
中天🏅新闻,http://ali.hlspull.yximgs.com/live/83c034901e733ac1f8f47c981b802b46.flv
中天🏅CTI+,http://ali.hlspull.yximgs.com/live/ce4d9b527e34d87c57e65265eaea99f3.flv
环宇🏅新闻,http://tianhewan.top/ZIPP.php?url=http://211.72.65.236:8547/.m3u8
中视🏅新闻台,http://37.27.111.214:8080/live/7/hls.m3u8
台弯🏅番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w705811302.m3u8
民视🏅一台,http://37.27.111.214:8080/live/4/hls.m3u8
民视🏅湾台,http://37.27.111.214:8080/live/5/hls.m3u8
民视🏅高清,http://37.27.111.214:8080/live/6/hls.m3u8
台弯🏅台视,rtmp://f13h.mine.nu/sat/tv071#rtmp://220.130.201.73/sat/tv071
台弯🏅中视,rtmp://f13h.mine.nu/sat/tv091#rtmp://220.130.201.73/sat/tv091
台弯🏅民视,rtmp://f13h.mine.nu/sat/tv051#rtmp://220.130.201.73/sat/tv051
台弯🏅华视,rtmp://f13h.mine.nu/sat/tv111#rtmp://220.130.201.73/sat/tv111
📹明星电影,#genre#
电影_星爷,http://cfss.cc/cdn/hy/11342412.flv
电影_英叔,http://cfss.cc/cdn/hy/11342421.flv
电影_发哥,http://cfss.cc/cdn/hy/11342387.flv
电影_成龙,http://cfss.cc/cdn/hy/11342386.flv
电影_王晶,http://cfss.cc/cdn/hy/11602058.flv
电影_沈腾,http://cfss.cc/cdn/hy/11601968.flv
电影_黄渤,http://cfss.cc/cdn/hy/11352876.flv
电影_强森,http://cfss.cc/cdn/hy/21059581.flv
电影_漫威,http://cfss.cc/cdn/hy/11602034.flv
电影_许冠英,http://cfss.cc/cdn/hy/11601972.flv
电影_五福星,http://cfss.cc/cdn/hy/11282233.flv
电影_邱淑贞,http://cfss.cc/cdn/hy/11352949.flv
电影_古天乐,http://cfss.cc/cdn/hy/11602041.flv
电影_徐克,http://cfss.cc/cdn/hy/11352909.flv
电影_冯小刚,http://cfss.cc/cdn/hy/11352906.flv
电影_甄子丹,http://cfss.cc/cdn/hy/11352935.flv
电影_周星星,http://cfss.cc/cdn/hy/11336587.flv
电影_李连杰,http://cfss.cc/cdn/hy/11342390.flv
电影_洪金宝,http://cfss.cc/cdn/hy/11279251.flv
电影_梁家辉,http://cfss.cc/cdn/hy/11342429.flv
电影_刘德华,http://cfss.cc/cdn/hy/11342424.flv
电影_斯坦森,http://cfss.cc/cdn/hy/11352963.flv
电影_曾江,http://cfss.cc/cdn/hy/11601981.flv
电影_周海媚,http://cfss.cc/cdn/hy/11279247.flv
电影_宇宙,http://cfss.cc/cdn/hy/11342428.flv
电影_怪兽,http://cfss.cc/cdn/hy/21059577.flv
电影_武侠,http://cfss.cc/cdn/hy/11342427.flv
电影_警匪,http://cfss.cc/cdn/hy/11352886.flv
电影_罪犯,http://cfss.cc/cdn/hy/11352962.flv
电影_枪战,http://cfss.cc/cdn/hy/21059579.flv
电影_海盗,http://cfss.cc/cdn/hy/21059595.flv
电影_推荐,http://cfss.cc/cdn/hy/11602041.flv
电影_救援,http://cfss.cc/cdn/hy/21059594.flv
电影_热血,http://cfss.cc/cdn/hy/11352934.flv
电影_盗墓,http://cfss.cc/cdn/hy/21059552.flv
电影_贺岁,http://cfss.cc/cdn/hy/11601971.flv
电影_玄幻,http://cfss.cc/cdn/hy/11342414.flv
电影_谍战,http://cfss.cc/cdn/hy/21059585.flv
电影_战争,http://cfss.cc/cdn/hy/21059592.flv
电影_喜剧,http://cfss.cc/cdn/hy/11352877.flv
电影_港片,http://cfss.cc/cdn/hy/11602043.flv
电影_国产,http://cfss.cc/cdn/hy/11352973.flv
电影_八点档,http://cfss.cc/cdn/hy/880261.flv
电影_超异能族,http://cfss.cc/cdn/hy/21059586.flv
电影_古墓系列,http://cfss.cc/cdn/hy/11352913.flv
电影_蜘蛛侠,http://cfss.cc/cdn/hy/21059599.flv
电影_贺岁片,http://cfss.cc/cdn/hy/11601986.flv
电影_功夫片,http://cfss.cc/cdn/hy/11352941.flv
电影_黑帮片,http://cfss.cc/cdn/hy/11336719.flv
电影_丧尸片,http://cfss.cc/cdn/hy//21059578.flv
电影_灾难片,http://cfss.cc/cdn/hy/11602075.flv
电影_谍战片,http://cfss.cc/cdn/hy/21059587.flv
电影_战争片,http://cfss.cc/cdn/hy/21059574.flv
电影_犯罪片,http://cfss.cc/cdn/hy/11352974.flv
电影_古装片,http://cfss.cc/cdn/hy/11336590.flv
电影_高分动作,http://cfss.cc/cdn/hy/11352884.flv
电影_动作电影,http://cfss.cc/cdn/hy/11602077.flv
电影_搞笑喜剧,http://cfss.cc/cdn/hy/11342423.flv
电影_喜剧专场,http://cfss.cc/cdn/hy/11602044.flv
电影_欢笑影院,http://cfss.cc/cdn/hy/11352894.flv
电影_不挤影院,http://cfss.cc/cdn/hy/11352897.flv
电影_国产悬疑,http://cfss.cc/cdn/hy/11342395.flv
电影_快意江湖,http://cfss.cc/cdn/hy/11342435.flv
电影_黑帮斗争,http://cfss.cc/cdn/hy/11342419.flv
电影_嫣然影厅,http://cfss.cc/cdn/hy/11601977.flv
电影_许氏三杰,http://cfss.cc/cdn/hy/11602033.flv
电影_经典港片,http://cfss.cc/cdn/hy/11352965.flv
电影_镖行天下,http://cfss.cc/cdn/hy/11352969.flv
电影_高能反转,http://cfss.cc/cdn/hy/11352887.flv
电影_喜乐影院,http://cfss.cc/cdn/hy/21059580.flv
电影_蘑菇影厅,http://cfss.cc/cdn/hy/11601981.flv
电影_搞笑恐怖,http://cfss.cc/cdn/hy/11601960.flv
电影_死神来了,http://cfss.cc/cdn/hy/11352903.flv
电影_变形金刚,http://cfss.cc/cdn/hy/21059596.flv
电影_怪兽系列,http://cfss.cc/cdn/hy/21059554.flv
📽劲爆电影,#genre#
☄️九龙城寨之围城,https://s3.bfengbf.com/video/jiulongchengzhaizhiweichengguoyu/%E5%9B%BD%E8%AF%AD%E4%B8%AD%E5%AD%97/index.m3u8
🔥怒火战猴,https://m3u.nikanba.live/share/6a1bb945003e4c5e92fff4b5b0473c59.m3u8
🔥亮剑决战鬼哭谷,https://vip.ffzy-play.com/20221017/1717_86c34a81/2000k/hls/mixed.m3u8
🔥狄仁杰之通天玄案,https://yzzy.play-cdn21.com/20240224/38_93aa3142/2000k/hls/mixed.m3u8
🔥狄仁杰之雷火玄龙,https://vip.lzcdn2.com/20230610/26177_daf0233b/2000k/hls/mixed.m3u8
🔥花千骨,https://s10.fsvod1.com/20240305/uBGOKIbJ/2000kb/hls/index.m3u8
🔥围攻,https://vip15.play-cdn15.com/20230530/14255_99e10c3d/2000k/hls/index.m3u8
🔥红右手,https://1080p.sbzyplay.com/play/Yerrwwke/index.m3u8
🔥惊天激战,https://v.cdnlz19.com/20240219/17331_1e41d0fd/2000k/hls/mixed.m3u8
🔥雅多维尔围城战,https://vip.ffzy-online1.com/20230618/41514_3f6ba156/2000k/hls/mixed.m3u8
🔥硬闯百分百危险,https://vip.lz-cdn3.com/20230612/19520_fd5d05dc/2000k/hls/mixed.m3u8
🔥深入敌后：危险营救,https://vod2.bdzybf7.com/20220330/ZmfMdZ9b/2000kb/hls/index.m3u8
🔥天崩地裂,https://vip.lz-cdn3.com/20230213/17674_30119f3a/1800k/hls/mixed.m3u8
🔥前进巴格达,https://v.xlzys.com/play/9aADjZ1e/index.m3u8
🔥渗透,https://vip.kuaikan-cdn4.com/20240220/UXfGAlcV/844kb/hls/index.m3u8
🔥天空,https://vip.ffzy-online2.com/20230520/37654_8f788c89/2000k/hls/mixed.m3u8
🔥盟约,https://vip.ffzyread1.com/20230509/12010_b1694850/2000k/hls/mixed.m3u8
🔥罗密欧点,https://vod6.bdzybf7.com/20240228/tinMeIwj/1500kb/hls/index.m3u8
🔥伊拉克碎片,https://vip.ffzy-play7.com/20230501/23691_c2a50b03/2000k/hls/mixed.m3u8
🔥深郁黑暗,https://v.gsuus.com/play/QbYwGG9e/index.m3u8
🔥外星人2[韩],https://v.cdnlz12.com/20240215/11573_4cb789fb/2000k/hls/mixed.m3u8#https://v.cdnlz12.com/20240215/11573_4cb789fb/index.m3u8#https://yzzy1.play-cdn1.com/20240215/16550_5cc27412/2000k/hls/index.m3u8#https://yzzy1.play-cdn1.com/20240215/16550_5cc27412/index.m3u8
🔥破战,https://yzzy1.play-cdn20.com/20240216/17014_96791511/2000k/hls/mixed.m3u8#https://yzzy1.play-cdn20.com/20240216/17014_96791511/index.m3u8#https://ukzy.ukubf3.com/20240216/MYLiIuPk/2000kb/hls/index.m3u8#https://ukzy.ukubf3.com/20240216/MYLiIuPk/index.m3u8
🔥金手指[国],https://ikcdn01.ikzybf.com/20240213/xZTh2qQA/2000kb/hls/index.m3u8#https://ikcdn01.ikzybf.com/20240213/xZTh2qQA/index.m3u8#https://yzzy1.play-cdn1.com/20240213/16167_249c33f2/2000k/hls/index.m3u8#https://yzzy1.play-cdn1.com/20240213/16167_249c33f2/index.m3u8
🔥缉恶,https://cdn.zui.cm:2022/api/a26b96f2df8a8d1b7b66c6cb013a1680.m3u8?token=a7e9lTUNIl1TNwpSB00RrbY2KFoUwtxSV5jUYhBf+0c7xmCyEnDlZfKfjYud&svip.m3u8#https://yzzy1.play-cdn1.com/20240212/16107_ce5c69e6/2000k/hls/index.m3u8#https://yzzy1.play-cdn1.com/20240212/16107_ce5c69e6/index.m3u8#https://top.1080pzy.co/202402/12/XSsKhkbrtA3/video/1000k_0X720_64k_25/hls/index.m3u8#https://top.1080pzy.co/202402/12/XSsKhkbrtA3/video/index.m3u8
🔥瞒天过海,https://hnzy.bfvvs.com/play/YerrBPke/index.m3u8#https://cdn.zui.cm:2022/api/6226fc85a0a72bc8a7a22e6452922ffd.m3u8?token=f83evj3wntjicMRBEc9WER6ZjpudD/Kp922gdBfCnVZ9g+qcHFWnL+nlbwfg&svip.m3u8#https://v.cdnlz12.com/20240211/11542_019e26ed/2000k/hls/mixed.m3u8#https://v.cdnlz12.com/20240211/11542_019e26ed/index.m3u8
🔥目中无人2,https://yzzy1.play-cdn1.com/20240210/15952_004b2a47/2000k/hls/index.m3u8#https://yzzy1.play-cdn1.com/20240210/15952_004b2a47/index.m3u8
🔥非诚勿扰3,https://yzzy1.play-cdn20.com/20240210/16640_403958bf/2000k/hls/index.m3u8#https://yzzy1.play-cdn20.com/20240210/16640_403958bf/index.m3u8#https://ukzy.ukubf3.com/20240210/JsOQnsE4/2000kb/hls/index.m3u8#https://ukzy.ukubf3.com/20240210/JsOQnsE4/index.m3u8
🔥长津湖,https://cdn2.yzzy-online.com/20220325/1969_ba918397/1000k/hls/index.m3u8#https://cdn2.yzzy-online.com/20220325/1969_ba918397/index.m3u8
🔥长津湖之水门桥,https://vip.ffzy-play7.com/20221125/7026_1ecb0db7/2000k/hls/mixed.m3u8#https://vip.ffzy-play7.com/20221125/7026_1ecb0db7/index.m3u8#https://cdn17.yzzy-online.com/20230817/16230_2dbddb92/2000k/hls/index.m3u8#https://cdn17.yzzy-online.com/20230817/16230_2dbddb92/index.m3u8
🔥一闪一闪亮星星,https://ikcdn01.ikzybf.com/20240213/vWZ9ePUu/2000kb/hls/index.m3u8#https://ikcdn01.ikzybf.com/20240213/vWZ9ePUu/index.m3u8#https://v6.toutiaovod.com/299ec3f00b7e87ae238fcdfc9ebd5c2d/65cbd631/video/tos/cn/tos-cn-v-6db89e/o0ePgowIyGYTDy9WEffkj8WFsYuAHIeGmHcfYk/?6080.mp4#https://cdn.zui.cm:2022/api/fa153a5c7d12362157349c39fa173d4b.m3u8?token=39bazPf6StfGspmd43phXral0EFLwTCD3GWitXmYRzj6F5wdw8qkDaNI500Y&svip.m3u8
🔥照明商店,https://yzzy.play-cdn19.com/20240213/19794_4de23d38/2000k/hls/index.m3u8#https://yzzy.play-cdn19.com/20240213/19794_4de23d38/index.m3u8#https://hnzy.bfvvs.com/play/9b6lVLne/index.m3u8
🔥年会不能停,https://yzzy.play-cdn19.com/20240213/19788_da07138c/2000k/hls/index.m3u8#https://yzzy.play-cdn19.com/20240213/19788_da07138c/index.m3u8#https://hnzy.bfvvs.com/play/rb2PJj1e/index.m3u8
🔥北冥有鲲,https://vip.ffzy-online6.com/20240211/26120_e94353cd/2000k/hls/index.m3u8#https://vip.ffzy-online6.com/20240211/26120_e94353cd/index.m3u8#https://cdn.zui.cm:2022/api/495b9904c585dae17c98a51e65e6c247.m3u8?token=6605h//+qPBwqgUHnQRYw1x931P6KBkd5hKOuq3t14Ezxm4JzRTdyCW2TKHT&svip.m3u8#https://v.cdnlz12.com/20240212/11547_4dbeba38/2000k/hls/mixed.m3u8#https://v.cdnlz12.com/20240212/11547_4dbeba38/index.m3u8
四平警事之钻石大劫案,https://v.cdnlz2.com/20240206/28771_69d6e63e/2000k/hls/mixed.m3u8#https://v.cdnlz2.com/20240206/28771_69d6e63e/index.m3u8#https://yzzy1.play-cdn1.com/20240206/15420_24829180/2000k/hls/index.m3u8#https://yzzy1.play-cdn1.com/20240206/15420_24829180/index.m3u8
露梁海战,https://v.cdnlz19.com/20240205/13018_c311202b/2000k/hls/mixed.m3u8#https://v.cdnlz19.com/20240205/13018_c311202b/index.m3u8#https://yzzy.play-cdn19.com/20240204/19039_8fc68bf4/2000k/hls/index.m3u8#https://yzzy.play-cdn19.com/20240204/19039_8fc68bf4/index.m3u8
黑白潜行,https://vip.ffzy-online6.com/20240204/25747_fb206ff2/2000k/hls/index.m3u8#https://vip.ffzy-online6.com/20240204/25747_fb206ff2/index.m3u8#https://cdn.zui.cm:2022/api/e45913dc80d0875abdd520380d62ded8.m3u8?token=e5bdd6QPSkTSDtmkL/y52H8+IWCfVA9vIMZ1lyd1tevVW2kVumc306SzH4oE&svip.m3u8
三大队,https://v.cdnlz2.com/20240201/28578_1ad90f25/2000k/hls/mixed.m3u8#https://v.cdnlz2.com/20240201/28578_1ad90f25/index.m3u8https://yzzy1.play-cdn1.com/20240201/14983_647c895f/2000k/hls/index.m3u8#https://yzzy1.play-cdn1.com/20240201/14983_647c895f/index.m3u8#https://wsv.cdp.qq.com/10002-nkvlog_0bc3byabwaaaaiaceev4yrsvcdwddmhaag2a.f0.mp4?dis_k=a95c28c5ef592eeea4b2d50d85ccf271&dis_t=1706870516
我本是高山,https://v.cdnlz12.com/20240128/11176_b475b264/2000k/hls/mixed.m3u8#https://v.cdnlz12.com/20240128/11176_b475b264/index.m3u8#https://yzzy.play-cdn19.com/20240128/18148_dae2c53f/2000k/hls/index.m3u8#https://yzzy.play-cdn19.com/20240128/18148_dae2c53f/index.m3u8
长白山猎人传说,https://vip.ffzy-online6.com/20240130/25459_dbbc3359/2000k/hls/index.m3u8#https://vip.ffzy-online6.com/20240130/25459_dbbc3359/index.m3u8
[印]猛虎3,https://hnzy.bfvvs.com/play/Pdy4pmzb/index.m3u8#https://ukzy.ukubf3.com/20240129/vM7JF1MM/2000kb/hls/index.m3u8#https://ukzy.ukubf3.com/20240129/vM7JF1MM/index.m3u8
#https://hnzy.bfvvs.com/play/Pdy4pmzb/index.m3u8
[美]无法治愈,https://vip.lz-cdn3.com/20220624/8306_5b24c626/1000k/hls/mixed.m3u8#https://vip.lz-cdn3.com/20220624/8306_5b24c626/index.m3u8#https://s1.1080pzy.co/20210726/O8yBS59X/1200kb/hls/index.m3u8#https://s1.1080pzy.co/20210726/O8yBS59X/index.m3u8
[美]养蜂人抢先,https://www.yzzy.play-cdn20.com/20240130/14212_512dac09/2000k/hls/index.m3u8#https://www.yzzy.play-cdn20.com/20240130/14212_512dac09/index.m3u8#https://hnzy.bfvvs.com/play/YerGgp2a/index.m3u8#https://s.xlzys.com/play/DdwNnxrb/index.m3u8#https://s.xlzys.com/play/DdwNnxrb/index.m3u8
孤注一掷,https://v.cdnlz12.com/20240131/11213_0006f281/2000k/hls/mixed.m3u8#https://v.cdnlz12.com/20240131/11213_0006f281/index.m3u8#https://yzzy.play-cdn19.com/20240131/18306_ab283c7e/2000k/hls/index.m3u8#https://yzzy.play-cdn19.com/20240131/18306_ab283c7e/index.m3u8
https://hnzy.bfvvs.com/play/Pdy4pmzb/index.m3u8
大冒险王之金丝玉盘,https://hnzy.bfvvs.com/play/YerGjXpa/index.m3u8
[国]爆裂点,https://v.cdnlz3.com/20240126/22924_311317eb/2000k/hls/mixed.m3u8#https://v.cdnlz3.com/20240126/22924_311317eb/index.m3u8#https://www.yzzy.play-cdn1.com/20240126/13880_50457047/2000k/hls/index.m3u8#https://www.yzzy.play-cdn1.com/20240126/13880_50457047/index.m3u8
